[     137ms] [ERROR] WebSocket connection to 'ws://100.82.152.81:5173/?token=ntGJNF_8J-Lg' failed:  @ http://100.82.152.81:5173/@vite/client:535
[     327ms] [ERROR] WebSocket connection to 'ws://localhost:5173/?token=ntGJNF_8J-Lg' failed:  @ http://100.82.152.81:5173/@vite/client:535
[     338ms] [ERROR] [vite] failed to connect to websocket.
[10553216ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10567554ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10567554ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10569530ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10571523ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10573553ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10575501ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10585953ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10585954ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10587929ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10589923ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10591952ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10593900ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10604351ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10604351ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10606328ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10608322ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10610350ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10612296ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10622747ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10622747ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10624768ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10626722ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10628763ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10630692ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10641144ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10641144ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10643168ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10645120ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10647164ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10647796ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10658249ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10658249ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10660273ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10662223ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10664267ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10664898ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10675353ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10675353ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10677375ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10679324ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10681370ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10682005ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10692457ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10692457ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10694476ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10696428ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10698475ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10699111ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10715003ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10715004ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10717022ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10718973ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10721015ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10721653ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10737542ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10737543ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10739563ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10741515ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10743556ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10744197ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10760085ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10760085ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10762112ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10764061ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10766100ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
[10766744ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ http://100.82.152.81:3456/api/status:0
